transformation,family,gene_mean,gene_var
logp1,delta_method,0.345,0.733383559340654
logp1,delta_method,0.96,1.5664559065402435
logp1,delta_method,0.5125,0.6527649949690667
logp1,delta_method,0.365,0.9282037367639447
logp1,delta_method,1.0575,1.5911435657240087
logp1,delta_method,0.0175,0.017857799800555945
logp1,delta_method,0.79,1.0929178637596872
logp1,delta_method,2.4575,2.78419051639956
logp1,delta_method,0.005,0.014180294221421358
logp1,delta_method,0.3425,0.6889516581538683
logp1,delta_method,0.2125,0.32670421572078423
logp1,delta_method,0.275,0.524683542894848
logp1,delta_method,0.7575,1.097919598258826
logp1,delta_method,0.0375,0.09779394694605281
logp1,delta_method,0.015,0.03835599560395964
logp1,delta_method,0.0025,9.92359962984162e-4
logp1,delta_method,0.2825,0.45946071558241336
logp1,delta_method,1.13,1.7853915381558647
logp1,delta_method,0.7075,1.8716387995237624
logp1,delta_method,0.4375,0.7658412910533579
logp1,delta_method,0.1075,0.20106323852135752
logp1,delta_method,1.17,1.2376250291990747
logp1,delta_method,0.0075,0.004504127718122436
logp1,delta_method,0.6625,1.0216515620042261
logp1,delta_method,0.0175,0.009965090426744965
logp1,delta_method,0.0075,0.0034537370083871687
logp1,delta_method,0.2875,0.8209431659663597
logp1,delta_method,0.8475,1.4348523888183817
logp1,delta_method,0.035,0.027573807392648437
logp1,delta_method,2.91,2.9969482496069095
logp1,delta_method,0.15,0.2710319727014965
logp1,delta_method,2.2975,3.0729783520878704
logp1,delta_method,0.0025,8.674806479297331e-4
logp1,delta_method,0.0725,0.3274022749520253
logp1,delta_method,0.27,0.4586118995702978
logp1,delta_method,109.57,1.6846716219805444
logp1,delta_method,2.035,2.039678870783918
logp1,delta_method,0.585,1.2788541245342921
logp1,delta_method,0.01,0.06518996045955741
logp1,delta_method,0.275,0.5204014059121743
logp1,delta_method,0.005,0.002666873236875616
logp1,delta_method,0.145,0.36400126034003355
logp1,delta_method,0.01,0.019311790795051676
logp1,delta_method,0.05,0.1456804095847198
logp1,delta_method,0.1,0.09543173554588942
logp1,delta_method,5.61,4.182241265332826
logp1,delta_method,0.715,1.257897976819561
logp1,delta_method,1.91,2.4929259014960943
logp1,delta_method,0.005,0.03227374963018122
logp1,delta_method,0.1725,0.29106503434250475
logp1,delta_method,0.2925,0.33802944270738755
logp1,delta_method,0.0225,0.062194990989320346
logp1,delta_method,0.1025,0.4188977998444976
logp1,delta_method,1.215,1.9644738349055042
logp1,delta_method,0.1375,0.17144983526161267
logp1,delta_method,0.0025,0.03734265102740371
logp1,delta_method,0.59,1.1348332816206868
logp1,delta_method,1.505,2.138292207980885
logp1,delta_method,0.775,1.2924374527444378
logp1,delta_method,0.0275,0.15629333045992871
logp1,delta_method,0.1775,0.34043452417097586
logp1,delta_method,0.1425,0.32643926775564625
logp1,delta_method,0.1175,0.17691379697177542
logp1,delta_method,0.0475,0.0759575906619876
logp1,delta_method,0.01,0.033976246963293565
logp1,delta_method,0.03,0.10771635892666509
logp1,delta_method,1.135,1.4965117973515296
logp1,delta_method,0.005,0.002650364825111494
logp1,delta_method,0.035,0.08478577019498623
logp1,delta_method,0.6925,1.5315188428451796
logp1,delta_method,0.5025,1.1828411715509561
logp1,delta_method,0.275,0.6616352578202922
logp1,delta_method,0.0325,0.2389293550751514
logp1,delta_method,0.0225,0.009856147803563099
logp1,delta_method,0.1625,0.3740159006936645
logp1,delta_method,0.0025,0.002381772072704134
logp1,delta_method,0.005,0.05778439145939754
logp1,delta_method,0.09,0.21737442837950002
logp1,delta_method,0.1575,0.5640623354347355
logp1,delta_method,0.5425,0.9207264437993234
logp1,delta_method,0.0975,0.3070741822111842
logp1,delta_method,0.04,0.15175739402909147
logp1,delta_method,31.5775,4.220353226809327
logp1,delta_method,0.085,0.5030229156343152
logp1,delta_method,0.015,0.048733584600563096
logp1,delta_method,0.13,0.26469919100034384
logp1,delta_method,2.25,2.9169662167166357
logp1,delta_method,0.0025,7.843945413512092e-4
logp1,delta_method,0.7625,1.0410933574378944
logp1,delta_method,0.0625,0.17617752052804808
logp1,delta_method,0.38,1.1789811551606528
logp1,delta_method,0.02,0.11626833453809515
logp1,delta_method,0.01,0.04099429856045073
logp1,delta_method,0.005,0.0011725968445901048
logp1,delta_method,1.1725,1.6827081309277494
logp1,delta_method,0.1025,0.2483935919795748
logp1,delta_method,0.0075,0.00427963847147372
logp1,delta_method,0.605,1.0380784841676722
logp1,delta_method,0.0025,0.022242515791535678
logp1,delta_method,0.0025,0.018796393989033554
logp1,delta_method,0.815,1.8494633415853001
logp1,delta_method,0.0025,0.0033203448807312868
logp1,delta_method,0.07,0.04929876508461205
logp1,delta_method,0.4575,0.7204663301459456
logp1,delta_method,0.0125,0.009503181545912178
logp1,delta_method,0.005,0.005403822071925983
logp1,delta_method,0.2925,0.5125734624312006
logp1,delta_method,0.0025,0.007366024563918147
logp1,delta_method,0.4275,0.8700591432925667
logp1,delta_method,0.07,0.17726656195625412
logp1,delta_method,0.0025,3.6187649049683067e-4
logp1,delta_method,0.0075,0.06113596136033324
logp1,delta_method,0.015,0.0567723391883719
logp1,delta_method,0.045,0.10506785428496816
logp1,delta_method,1.8125,2.8486657847786137
logp1,delta_method,0.0025,0.002661460508871151
logp1,delta_method,5.825,3.462789004820613
logp1,delta_method,0.5725,0.8783557013899399
logp1,delta_method,0.0175,0.04277605830502063
logp1,delta_method,0.12,0.23770711735435585
logp1,delta_method,0.205,0.23074901538105128
logp1,delta_method,0.005,0.0041466179239577445
logp1,delta_method,0.005,0.045736174578703555
logp1,delta_method,0.2975,0.7153627163658551
logp1,delta_method,0.075,0.5773380175274746
logp1,delta_method,0.0175,0.07574546938787502
logp1,delta_method,0.0025,0.0018299500431957353
logp1,delta_method,0.0975,0.16871530243176835
logp1,delta_method,0.05,0.18801170995069902
logp1,delta_method,0.615,0.8030496813773652
logp1,delta_method,0.06,0.14099364010315854
logp1,delta_method,0.125,0.2778256747796521
logp1,delta_method,0.8725,2.1988618412294594
logp1,delta_method,11.6575,6.037955456181583
logp1,delta_method,0.005,0.028298338895446813
logp1,delta_method,0.05,0.0908631551756308
logp1,delta_method,2.64,2.851832835128316
logp1,delta_method,1.265,1.9235776766205055
logp1,delta_method,0.5875,0.8333344245419818
logp1,delta_method,0.0625,0.04784817784436598
logp1,delta_method,0.4125,0.7789758906810114
logp1,delta_method,0.0575,0.1343214163499597
logp1,delta_method,1.0175,1.6179449711939158
logp1,delta_method,0.0025,6.730065999275901e-4
logp1,delta_method,0.0025,0.001495752141414629
logp1,delta_method,0.145,0.2438736817618016
logp1,delta_method,0.0025,0.0018299500431957353
logp1,delta_method,0.1925,0.45353481369349025
logp1,delta_method,0.32,1.0249707035383668
logp1,delta_method,0.01,0.04005517335890256
logp1,delta_method,0.165,0.2986534605912907
logp1,delta_method,0.92,1.6706463308254667
logp1,delta_method,0.12,0.11511568906362338
logp1,delta_method,0.045,0.1532387513115819
logp1,delta_method,2.105,2.4065098759343475
logp1,delta_method,0.025,0.014218909925200252
logp1,delta_method,0.4025,0.8286978113865061
logp1,delta_method,0.3425,0.5041304073268973
logp1,delta_method,3.21,3.1815773494374833
logp1,delta_method,0.0125,0.09277049864755314
logp1,delta_method,0.0325,0.06355531729014424
logp1,delta_method,1.1575,2.0504096966342167
logp1,delta_method,1.3675,1.694664202838146
logp1,delta_method,0.0025,0.026090249658310773
logp1,delta_method,0.415,1.1266545584563898
logp1,delta_method,0.0025,5.390427375098488e-4
logp1,delta_method,0.0025,7.432793273364095e-4
logp1,delta_method,0.0125,0.006849876026988804
logp1,delta_method,0.435,0.8359721692094133
logp1,delta_method,0.1575,0.15729521395600102
logp1,delta_method,0.035,0.0894462616114889
