benchmark,transformation,family,dataset,replicate,pca_dim,alpha,knn,n_clusters,n_clusters_counts,ARI,AMI,NMI,rel_ARI,rel_AMI,rel_NMI,mean_knn_overlap
simulation,logp1,delta_method,muscat,1,10,FALSE,50,8,10,0.4485753270046792,0.6849685451596532,0.6849685451596532,0.9408131590758382,1.0556365564109575,1.0556365564109575,2.8714
simulation,logp1_hvg,delta_method,muscat,1,10,FALSE,50,8,11,0.4618858252306627,0.654771649910827,0.654771649910827,0.9687297455017568,1.0090987310757178,1.0090987310757178,2.8686
simulation,logp1_zscore,delta_method,muscat,1,10,FALSE,50,8,9,0.5168519400130503,0.7188405161983815,0.7188405161983815,1.0840121540012413,1.107838210222434,1.107838210222434,2.8058
simulation,logp1_hvg_zscore,delta_method,muscat,1,10,FALSE,50,8,9,0.5386071473618442,0.7264254823679024,0.7264254823679024,1.1296401324476688,1.1195277507484451,1.1195277507484451,2.808
simulation,logp_cpm,delta_method,muscat,1,10,FALSE,50,8,8,0.5573200204278348,0.7083231831670173,0.7083231831670173,1.1688873138344777,1.0916294641386721,1.0916294641386721,2.8558
simulation,logp1_size_normed,delta_method,muscat,1,10,FALSE,50,8,11,0.4513549645470733,0.6646466104902445,0.6646466104902445,0.9466429928181614,1.0243174874031642,1.0243174874031642,2.8184
simulation,acosh,delta_method,muscat,1,10,TRUE,50,8,11,0.4420809356642648,0.7059630464478875,0.7059630464478875,0.9271922386519508,1.0879921487955853,1.0879921487955853,2.8284
simulation,logp_alpha,delta_method,muscat,1,10,TRUE,50,8,8,0.4474129591246237,0.693998322034419,0.693998322034419,0.9383752831352564,1.0695527612244433,1.0695527612244433,2.8528
simulation,pearson,glm_residual,muscat,1,10,TRUE,50,8,11,0.5369118028275522,0.6387918014327321,0.6387918014327321,1.1260844254102806,0.9844714509785664,0.9844714509785664,2.62
simulation,pearson_clip,glm_residual,muscat,1,10,TRUE,50,8,12,0.49818008931805896,0.614318616141882,0.614318616141882,1.0448510103078346,0.9467546985416809,0.9467546985416809,2.6194
simulation,pearson_clip_hvg,glm_residual,muscat,1,10,TRUE,50,8,15,0.4516392690838684,0.5563731896589584,0.5563731896589584,0.9472392749435915,0.8574523343609427,0.8574523343609427,2.62
simulation,pearson_clip_zscore,glm_residual,muscat,1,10,TRUE,50,8,11,0.4551690340263174,0.6621758201033853,0.6621758201033853,0.9546423778482369,1.0205096385989691,1.0205096385989691,2.8098
simulation,pearson_clip_hvg_zscore,glm_residual,muscat,1,10,TRUE,50,8,8,0.5151993084800949,0.7009429301609362,0.7009429301609362,1.0805460304770378,1.0802554164924913,1.0802554164924913,2.8108
simulation,pearson_analytic,glm_residual,muscat,1,10,TRUE,50,8,14,0.4136511451783293,0.5648549350494433,0.5648549350494433,0.8675654170486792,0.870523942626223,0.870523942626223,2.601
simulation,sctransform,glm_residual,muscat,1,10,TRUE,50,8,18,0.3915407600146939,0.5121008007971762,0.5121008007971762,0.821192511402965,0.789222117875242,0.789222117875242,2.608
